movie_id,language
1,English
2,English
2,Français
3,English
4,English
5,English
6,English
6,Español
7,Français
7,English
8,English
8,Deutsch
9,English
10,English
10,Pусский
10,Español
11,English
12,English
12,Deutsch
13,English
14,English
15,English
15,Latin
16,English
17,English
18,English
19,English
20,English
21,English
22,English
22,Deutsch
23,English
23,Español
23,Nederlands
24,English
25,English
26,English
27,English
28,English
29,广州话 / 廣州話
29,Français
30,普通话
31,English
32,English
32,Français
33,English
34,English
35,English
36,English
37,Pусский
37,English
38,English
39,Español
39,English
40,English
41,English
42,English
43,English
43,Español
44,English
45,English
46,English
47,English
48,English
49,English
50,Español
50,English
50,Français
50,Magyar
52,English
53,shqip
53,Italiano
54,English
54,Deutsch
55,English
56,English
57,English
57,Español
58,Italiano
58,Español
59,English
59,Français
60,English
61,English
61,Français
61,한국어/조선말
61,Español
62,English
63,English
63,Español
64,English
65,English
65,Pусский
66,English
66,Magyar
67,English
68,Français
68,Español
69,English
70,English
70,Español
71,English
71,Español
72,English
73,Français
74,English
75,English
76,English
77,Deutsch
77,English
78,English
79,English
80,فارسی
81,English
82,Nederlands
83,English
85,English
86,Dansk
86,English
86,Français
86,Deutsch
87,English
87,Français
87,Pусский
88,English
89,English
90,English
91,English
92,English
93,English
94,English
95,English
96,Français
97,English
98,English
99,English
100,Español
100,English
101,English
102,English
103,English
104,English
105,Deutsch
106,English
107,English
109,English
109,Français
109,Latin
109,
110,English
110,Español
111,广州话 / 廣州話
111,English
112,English
112,Français
112,Deutsch
113,English
114,Français
115,English
116,English
117,English
118,English
119,English
120,English
121,Français
121,English
122,广州话 / 廣州話
122,English
122,日本語
122,普通话
123,Italiano
124,English
125,English
126,العربية
126,Français
128,English
129,English
130,English
131,English
132,Español
133,English
134,English
135,English
136,English
137,English
139,Français
140,English
140,Français
141,English
141,Hrvatski
141,Bosanski
142,English
143,English
144,Deutsch
145,English
146,English
147,English
148,English
149,English
150,English
151,English
152,Français
152,
152,Español
153,English
154,English
155,English
156,English
157,English
158,English
158,Français
159,English
160,English
161,English
162,English
163,English
163,Deutsch
163,Română
164,English
165,English
166,English
166,Français
167,English
167,Bahasa indonesia
167,Bahasa melayu
168,English
168,Italiano
168,日本語
168,Pусский
169,English
169,Français
170,English
170,日本語
171,English
172,English
173,English
174,English
175,English
176,English
177,English
178,English
179,English
180,English
181,Pусский
181,English
182,Deutsch
182,English
183,English
183,Español
184,English
184,Pусский
185,English
186,English
187,English
188,English
189,English
191,English
192,English
193,English
194,English
195,Magyar
195,English
196,English
197,Français
198,English
199,English
200,English
201,English
201,Español
202,English
203,English
204,English
205,English
206,English
206,Deutsch
206,Español
207,English
208,广州话 / 廣州話
208,English
209,English
210,English
210,Deutsch
211,Pусский
212,shqip
212,English
212,
213,English
213,Deutsch
213,Français
214,Français
214,Español
214,English
215,English
216,English
217,English
218,English
218,Italiano
218,svenska
219,English
220,English
221,English
222,English
223,English
224,English
225,English
226,English
227,English
228,English
229,普通话
230,English
230,עִבְרִית
231,English
232,English
233,Français
233,English
234,English
235,English
236,English
237,English
238,English
239,Français
240,English
241,English
242,English
243,English
244,English
245,English
245,Pусский
246,English
247,English
248,English
248,Français
248,Deutsch
249,English
249,Deutsch
250,English
250,Français
251,English
252,English
253,English
254,English
255,English
256,English
257,English
258,English
258,Deutsch
258,Français
259,English
259,Français
260,English
261,Français
262,English
262,Español
263,
263,English
264,English
265,English
266,English
266,Español
267,English
268,English
269,English
270,English
271,English
272,English
273,English
274,English
275,English
276,English
276,Español
277,English
278,Český
278,English
278,Magyar
279,English
280,English
281,English
281,广州话 / 廣州話
282,English
283,English
284,English
285,English
285,
